text,category
Boarding announcement for flight AI874,Boarding
Flight AI437 has successfully landed from London,Arrival
Flight AI123 from Mumbai has arrived,Arrival
Emergency evacuation required immediately,Emergency
Passengers are requested to follow emergency procedures,Emergency
Due to weather conditions flight AI629 has been delayed,Delay
Flight AI632 from London has arrived,Arrival
Airport emergency protocol has been activated,Emergency
Passengers arriving on flight AI703 from Mumbai may collect baggage,Arrival
Flight AI837 bound for Delhi will depart shortly,Departure
Boarding started for flight AI441 at gate 18,Boarding
Flight AI282 bound for Mumbai will depart shortly,Departure
Flight AI625 to Kolkata is delayed by 27 minutes,Delay
Due to weather conditions flight AI540 has been delayed,Delay
Passengers are requested to follow emergency procedures,Emergency
Gate changed from 5 to 13 for flight AI405,Gate Change
Flight AI195 bound for Hyderabad will depart shortly,Departure
Final boarding call for flight AI808,Boarding
Gate update for flight AI614,Gate Change
Flight AI988 bound for Kolkata will depart shortly,Departure
Departure announcement for flight AI655 to Hyderabad,Departure
Boarding started for flight AI413 at gate 10,Boarding
Security alert reported near terminal,Emergency
Security alert reported near terminal,Emergency
Security alert reported near terminal,Emergency
Flight AI233 scheduled for Pune is delayed,Delay
Flight AI557 scheduled for Dubai is delayed,Delay
Passengers of flight AI138 please note the delay,Delay
Security alert reported near terminal,Emergency
Flight AI267 scheduled for Kolkata is delayed,Delay
Gate update for flight AI646,Gate Change
Passengers for flight AI428 please proceed to gate 14,Gate Change
Passengers for flight AI657 to Singapore proceed to gate 4,Departure
Passengers of flight AI780 please note the delay,Delay
Final boarding call for flight AI699,Boarding
Flight AI389 has successfully landed from Singapore,Arrival
Security alert reported near terminal,Emergency
Due to weather conditions flight AI317 has been delayed,Delay
Gate update for flight AI371,Gate Change
Boarding announcement for flight AI100,Boarding
Passengers arriving on flight AI519 from Singapore may collect baggage,Arrival
Gate changed from 3 to 20 for flight AI126,Gate Change
Boarding announcement for flight AI804,Boarding
Emergency evacuation required immediately,Emergency
Boarding started for flight AI163 at gate 12,Boarding
